run,seed,regeneration-rate,num-turtles,search-radius,knowledge-gain,old-age,metabolism,shock-prob,reproduction-cost,[steps],numTurtles,meanFood,totKnowledge,knowledgeTranferred
70,10,0.1,100,5,0.5,75,0.1,0,0.5,999,120,1.244166667,38,38
71,1,0.2,100,5,0.5,75,0.1,0,0.5,999,426,1.329342723,180,180
72,2,0.2,100,5,0.5,75,0.1,0,0.5,999,422,1.286255924,462.5,462.5
73,3,0.2,100,5,0.5,75,0.1,0,0.5,999,403,1.37866005,344,344
74,4,0.2,100,5,0.5,75,0.1,0,0.5,999,395,1.286075949,247,247
75,5,0.2,100,5,0.5,75,0.1,0,0.5,999,340,1.375,366,366
76,6,0.2,100,5,0.5,75,0.1,0,0.5,999,502,1.27250996,199,199
77,7,0.2,100,5,0.5,75,0.1,0,0.5,999,341,1.285043988,225.5,225.5
78,8,0.2,100,5,0.5,75,0.1,0,0.5,999,322,1.348447205,207.5,207.5
79,9,0.2,100,5,0.5,75,0.1,0,0.5,999,420,1.225238095,183.5,183.5
80,10,0.2,100,5,0.5,75,0.1,0,0.5,999,380,1.332105263,243,243
81,1,0.5,100,5,0.5,75,0.1,0,0.5,999,1157,1.288936906,504.5,504.5
82,2,0.5,100,5,0.5,75,0.1,0,0.5,999,1118,1.36019678,1327.5,1327.5
83,3,0.5,100,5,0.5,75,0.1,0,0.5,999,1087,1.312787489,907.5,907.5
84,4,0.5,100,5,0.5,75,0.1,0,0.5,999,1071,1.312698413,895.5,895.5
85,5,0.5,100,5,0.5,75,0.1,0,0.5,999,1021,1.29510284,863.5,863.5
86,6,0.5,100,5,0.5,75,0.1,0,0.5,999,1239,1.350847458,557,557
87,7,0.5,100,5,0.5,75,0.1,0,0.5,999,908,1.352092511,745,745
88,8,0.5,100,5,0.5,75,0.1,0,0.5,999,902,1.364855876,782.5,782.5
89,9,0.5,100,5,0.5,75,0.1,0,0.5,999,973,1.265467626,1150,1150
90,10,0.5,100,5,0.5,75,0.1,0,0.5,999,920,1.250217391,1052,1052
91,1,0.1,100,5,0.1,75,0.25,0,0.5,38,0,0,0,0
92,2,0.1,100,5,0.1,75,0.25,0,0.5,147,0,0,0,0
93,3,0.1,100,5,0.1,75,0.25,0,0.5,63,0,0,0,0
94,4,0.1,100,5,0.1,75,0.25,0,0.5,66,0,0,0,0
95,5,0.1,100,5,0.1,75,0.25,0,0.5,92,0,0,0,0
96,6,0.1,100,5,0.1,75,0.25,0,0.5,47,0,0,0,0
97,7,0.1,100,5,0.1,75,0.25,0,0.5,34,0,0,0,0
98,8,0.1,100,5,0.1,75,0.25,0,0.5,30,0,0,0,0
99,9,0.1,100,5,0.1,75,0.25,0,0.5,45,0,0,0,0
100,10,0.1,100,5,0.1,75,0.25,0,0.5,56,0,0,0,0
101,1,0.2,100,5,0.1,75,0.25,0,0.5,206,0,0,0,0
102,2,0.2,100,5,0.1,75,0.25,0,0.5,172,0,0,0,0
103,3,0.2,100,5,0.1,75,0.25,0,0.5,65,0,0,0,0
104,4,0.2,100,5,0.1,75,0.25,0,0.5,58,0,0,0,0
105,5,0.2,100,5,0.1,75,0.25,0,0.5,154,0,0,0,0
106,6,0.2,100,5,0.1,75,0.25,0,0.5,62,0,0,0,0
107,7,0.2,100,5,0.1,75,0.25,0,0.5,40,0,0,0,0
108,8,0.2,100,5,0.1,75,0.25,0,0.5,59,0,0,0,0
109,9,0.2,100,5,0.1,75,0.25,0,0.5,40,0,0,0,0
110,10,0.2,100,5,0.1,75,0.25,0,0.5,28,0,0,0,0
111,1,0.5,100,5,0.1,75,0.25,0,0.5,760,0,0,0,0
