[run number],seed,regeneration-rate,num-turtles,search-radius,knowledge-gain,old-age,metabolism,shock-prob,reproduction-cost,[steps],variable,value
37,,,,,,,,,,999,totKnowledge,31.75
38,8,0.2,100,5,0.25,75,0.1,0,0.5,999,numTurtles,129
38,,,,,,,,,,999,meanFood,1.441085271
38,,,,,,,,,,999,totKnowledge,26.5
39,9,0.2,100,5,0.25,75,0.1,0,0.5,999,numTurtles,189
39,,,,,,,,,,999,meanFood,1.312698413
39,,,,,,,,,,999,totKnowledge,32.75
40,10,0.2,100,5,0.25,75,0.1,0,0.5,999,numTurtles,213
40,,,,,,,,,,999,meanFood,1.271361502
40,,,,,,,,,,999,totKnowledge,43.25
41,1,0.5,100,5,0.25,75,0.1,0,0.5,999,numTurtles,183
41,,,,,,,,,,999,meanFood,1.289617486
41,,,,,,,,,,999,totKnowledge,53.75
42,2,0.5,100,5,0.25,75,0.1,0,0.5,999,numTurtles,188
42,,,,,,,,,,999,meanFood,1.309574468
42,,,,,,,,,,999,totKnowledge,65.5
43,3,0.5,100,5,0.25,75,0.1,0,0.5,999,numTurtles,203
43,,,,,,,,,,999,meanFood,1.160591133
43,,,,,,,,,,999,totKnowledge,39.75
44,4,0.5,100,5,0.25,75,0.1,0,0.5,999,numTurtles,160
44,,,,,,,,,,999,meanFood,1.22625
44,,,,,,,,,,999,totKnowledge,29.5
45,5,0.5,100,5,0.25,75,0.1,0,0.5,999,numTurtles,193
45,,,,,,,,,,999,meanFood,1.278238342
45,,,,,,,,,,999,totKnowledge,38
46,6,0.5,100,5,0.25,75,0.1,0,0.5,999,numTurtles,185
46,,,,,,,,,,999,meanFood,1.364864865
46,,,,,,,,,,999,totKnowledge,50.25
47,7,0.5,100,5,0.25,75,0.1,0,0.5,999,numTurtles,181
47,,,,,,,,,,999,meanFood,1.290055249
47,,,,,,,,,,999,totKnowledge,31.75
48,8,0.5,100,5,0.25,75,0.1,0,0.5,999,numTurtles,129
48,,,,,,,,,,999,meanFood,1.441085271
48,,,,,,,,,,999,totKnowledge,26.5
49,9,0.5,100,5,0.25,75,0.1,0,0.5,999,numTurtles,189
49,,,,,,,,,,999,meanFood,1.312698413
49,,,,,,,,,,999,totKnowledge,32.75
50,10,0.5,100,5,0.25,75,0.1,0,0.5,999,numTurtles,213
50,,,,,,,,,,999,meanFood,1.271361502
50,,,,,,,,,,999,totKnowledge,43.25
51,1,1,100,5,0.25,75,0.1,0,0.5,999,numTurtles,183
51,,,,,,,,,,999,meanFood,1.289617486
51,,,,,,,,,,999,totKnowledge,53.75
52,2,1,100,5,0.25,75,0.1,0,0.5,999,numTurtles,188
52,,,,,,,,,,999,meanFood,1.309574468
52,,,,,,,,,,999,totKnowledge,65.5
53,3,1,100,5,0.25,75,0.1,0,0.5,999,numTurtles,203
53,,,,,,,,,,999,meanFood,1.160591133
53,,,,,,,,,,999,totKnowledge,39.75
54,4,1,100,5,0.25,75,0.1,0,0.5,999,numTurtles,160
54,,,,,,,,,,999,meanFood,1.22625
54,,,,,,,,,,999,totKnowledge,29.5
55,5,1,100,5,0.25,75,0.1,0,0.5,999,numTurtles,193
55,,,,,,,,,,999,meanFood,1.278238342
55,,,,,,,,,,999,totKnowledge,38
56,6,1,100,5,0.25,75,0.1,0,0.5,999,numTurtles,185
56,,,,,,,,,,999,meanFood,1.364864865
56,,,,,,,,,,999,totKnowledge,50.25
57,7,1,100,5,0.25,75,0.1,0,0.5,999,numTurtles,181
57,,,,,,,,,,999,meanFood,1.290055249
57,,,,,,,,,,999,totKnowledge,31.75
